name,W,val_loss,f1_050,auc,fpr_050,fnr_050,f1_075,fpr_075,fnr_075,prec_075,rec_075,time
CNN multikernel W=20,20,0.3835740387439728,0.8231292517006803,0.9466912999664091,0.18777292576419213,0.06923076923076923,0.9098039215686274,0.039301310043668124,0.1076923076923077,0.928,0.8923076923076924,0.7570075988769531
BiLSTM W=5,5,0.5286383628845215,0.9090909090909091,0.9507250945775536,0.03278688524590164,0.11538461538461539,0.904,0.028688524590163935,0.13076923076923078,0.9416666666666667,0.8692307692307693,0.8417179584503174
CNN dilated W=5,5,0.25334611535072327,0.8978102189781022,0.9756935687263556,0.0860655737704918,0.05384615384615385,0.9015151515151515,0.06147540983606557,0.08461538461538462,0.8880597014925373,0.9153846153846154,0.7041654586791992
CNN avg+max W=5,5,0.2338230460882187,0.8840579710144928,0.9682534678436318,0.09836065573770492,0.06153846153846154,0.8937728937728938,0.0860655737704918,0.06153846153846154,0.8531468531468531,0.9384615384615385,1.0608031749725342
LSTM+CNN W=15,15,0.2900193929672241,0.8461538461538461,0.9371137409598949,0.14957264957264957,0.06923076923076923,0.8929889298892989,0.08547008547008547,0.06923076923076923,0.8581560283687943,0.9307692307692308,0.6366791725158691
CNN wide W=20,20,0.4253012537956238,0.8120805369127517,0.9524689284514612,0.2052401746724891,0.06923076923076923,0.889763779527559,0.048034934497816595,0.13076923076923078,0.9112903225806451,0.8692307692307693,0.4940650463104248
CNN baseline W=20,20,0.35072779655456543,0.8316151202749141,0.9495129324823649,0.17467248908296942,0.06923076923076923,0.8833333333333333,0.017467248908296942,0.18461538461538463,0.9636363636363636,0.8153846153846154,0.5356097221374512
CNN avg+max W=20,20,0.3388863503932953,0.8814814814814815,0.9290560967416863,0.09170305676855896,0.08461538461538462,0.8830188679245283,0.07860262008733625,0.1,0.8666666666666667,0.9,0.5541505813598633
CNN maxpool W=15,15,0.41528499126434326,0.8888888888888888,0.9551610782380014,0.08547008547008547,0.07692307692307693,0.8646288209606987,0.0,0.23846153846153847,1.0,0.7615384615384615,0.5363411903381348
CNN deep+res W=20,20,0.3347271978855133,0.7908496732026143,0.9208935169633861,0.24017467248908297,0.06923076923076923,0.8333333333333334,0.16593886462882096,0.07692307692307693,0.759493670886076,0.9230769230769231,0.6745560169219971
CNN dilated W=20,20,0.39798539876937866,0.7882736156351792,0.9282163251595567,0.2445414847161572,0.06923076923076923,0.8316151202749141,0.17467248908296942,0.06923076923076923,0.7515527950310559,0.9307692307692308,0.5956540107727051
GRU+Attn W=10,10,0.25795936584472656,0.8535564853556485,0.9073382684261345,0.029288702928870293,0.2153846153846154,0.8288288288288288,0.0,0.2923076923076923,1.0,0.7076923076923077,0.5656859874725342
BiLSTM W=10,10,0.30096691846847534,0.8776371308016878,0.9459607338268428,0.012552301255230125,0.2,0.8288288288288288,0.0,0.2923076923076923,1.0,0.7076923076923077,0.71163010597229
CNN maxpool W=20,20,0.31301385164260864,0.8066666666666666,0.9208599261001008,0.21397379912663755,0.06923076923076923,0.8275862068965517,0.17467248908296942,0.07692307692307693,0.75,0.9230769230769231,0.6249237060546875
GRU+Attn W=5,5,0.25571224093437195,0.825531914893617,0.9108133669609081,0.03278688524590164,0.25384615384615383,0.8214285714285714,0.00819672131147541,0.2923076923076923,0.9787234042553191,0.7076923076923077,0.6176135540008545
BiLSTM W=15,15,0.20903658866882324,0.8936170212765957,0.9509533201840895,0.0,0.19230769230769232,0.7962962962962963,0.0,0.3384615384615385,1.0,0.6615384615384615,0.7211065292358398
GRU+Attn W=15,15,0.3198428153991699,0.8658008658008658,0.8945759368836292,0.004273504273504274,0.23076923076923078,0.7559808612440191,0.0,0.3923076923076923,1.0,0.6076923076923076,0.567882776260376
CNN avg+max W=15,15,0.5414390563964844,0.8540925266903915,0.950197238658777,0.13247863247863248,0.07692307692307693,0.7,0.0,0.46153846153846156,1.0,0.5384615384615384,0.533106803894043
