step_idx	elapsed_s	status	reverse_active	path_reverse_active	stuck_detection_armed	planner_rebuilt	replan_attempted	raw_path_points	follow_path_points	active_path_points	raw_rover_x	raw_rover_y	raw_rover_z	raw_heading_deg	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	raw_pose_delta	pose_delta_cm	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	distance_traveled_delta	moved_since_anchor_cm	stationary_elapsed_s	goal_x_cm	goal_y_cm	goal_dist_cm	target_x_cm	target_y_cm	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	waypoint_idx	waypoint_distance_cm	waypoint_distance_avg_cm	path_heading_error_deg	throttle_cmd	steering_cmd	new_lidar_obstacles	stuck_obstacles_added	obstacle_total
34	9.222	Running	0	0	1	0	0	0	649	635	-5670.000	-10075.101	1440.300	187.300	-300.000	1679.980	29.999	-97.300	0.000	0.000	18.000	1.000	1.500	0	1.400	0.000	0.000	0.000	-4270.020	-2259.961	5593.227	-653.553	1356.505	103	102	96	96	56	479.204	470.800	-49.857	18.000	-1.000	0	0	0
35	9.522	Running	0	0	1	0	0	0	649	635	-5670.000	-10075.101	1440.300	187.300	-300.000	1679.980	29.999	-97.300	0.000	0.000	18.000	1.000	1.500	0	1.400	0.000	0.000	0.000	-4270.020	-2259.961	5593.227	-653.553	1356.505	103	102	96	96	56	479.204	471.034	-49.857	18.000	-1.000	0	0	0
36	9.786	Running	0	0	1	0	0	0	649	635	-5670.000	-10075.101	1440.300	187.300	-300.000	1679.980	29.999	-97.300	0.000	0.000	18.000	1.000	1.500	0	1.400	0.000	0.000	0.000	-4270.020	-2259.961	5593.227	-653.553	1356.505	103	102	96	96	56	479.204	471.255	-49.857	18.000	-1.000	0	0	0
37	10.051	Running	0	0	1	0	0	0	649	634	-5670.000	-10075.300	1440.300	189.300	-300.000	1660.058	29.999	-99.300	0.199	19.922	18.000	1.000	1.700	0	1.600	0.200	19.922	0.000	-4270.020	-2259.961	5579.212	-653.553	1356.505	103	102	96	96	55	465.988	471.116	-58.370	18.000	-1.000	0	0	0
38	10.309	Running	0	0	1	0	0	0	649	634	-5670.000	-10075.300	1440.300	189.300	-300.000	1660.058	29.999	-99.300	0.000	0.000	18.000	1.000	1.700	0	1.600	0.000	0.000	0.000	-4270.020	-2259.961	5579.212	-653.553	1356.505	103	102	96	96	55	465.988	470.985	-58.370	18.000	-1.000	0	0	0
39	10.593	Running	0	0	1	0	0	0	649	634	-5670.000	-10075.300	1440.300	189.300	-300.000	1660.058	29.999	-99.300	0.000	0.000	18.000	1.000	1.700	0	1.600	0.000	0.000	0.000	-4270.020	-2259.961	5579.212	-653.553	1356.505	103	102	96	96	55	465.988	470.860	-58.370	18.000	-1.000	0	0	0
40	10.863	Running	0	0	1	0	0	0	649	632	-5670.100	-10075.400	1440.300	191.600	-310.010	1650.000	29.999	-101.600	0.142	14.191	18.000	1.000	1.800	0	1.800	0.200	14.191	0.000	-4270.020	-2259.961	5565.022	-663.563	1346.495	103	102	96	96	54	465.956	470.740	-56.098	18.000	-1.000	0	0	0
41	11.171	Running	0	0	1	0	0	0	649	632	-5670.100	-10075.400	1440.300	191.600	-310.010	1650.000	29.999	-101.600	0.000	0.000	18.000	1.000	1.800	0	1.800	0.000	0.000	0.000	-4270.020	-2259.961	5565.022	-663.563	1346.495	103	102	96	96	54	465.956	470.626	-56.098	18.000	-1.000	0	0	0
42	11.439	Running	0	0	1	0	0	0	649	632	-5670.100	-10075.400	1440.300	191.600	-310.010	1650.000	29.999	-101.600	0.000	0.000	18.000	1.000	1.800	0	1.800	0.000	0.000	0.000	-4270.020	-2259.961	5565.022	-663.563	1346.495	103	102	96	96	54	465.956	470.518	-56.098	18.000	-1.000	0	0	0
43	11.703	Running	0	0	1	0	0	0	649	630	-5670.200	-10075.601	1440.300	193.900	-320.020	1629.980	29.999	-103.900	0.224	22.382	18.000	1.000	2.000	0	2.000	0.200	22.382	0.000	-4270.020	-2259.961	5543.838	-673.573	1336.486	103	101	95	95	54	459.499	470.267	-59.811	18.000	-1.000	0	0	0
44	11.997	Running	0	0	1	0	0	0	649	630	-5670.200	-10075.601	1440.300	193.900	-320.020	1629.980	29.999	-103.900	0.000	0.000	18.000	1.000	2.000	0	2.000	0.000	0.000	0.000	-4270.020	-2259.961	5543.838	-673.573	1336.486	103	101	95	95	54	459.499	470.028	-59.811	18.000	-1.000	0	0	0
45	12.272	Running	0	0	1	0	0	0	649	630	-5670.200	-10075.601	1440.300	193.900	-320.020	1629.980	29.999	-103.900	0.000	0.000	18.000	1.000	2.000	0	2.000	0.000	0.000	0.000	-4270.020	-2259.961	5543.838	-673.573	1336.486	103	101	95	95	54	459.499	469.799	-59.811	18.000	-1.000	0	0	0
46	12.542	Running	0	0	1	0	0	0	649	630	-5670.200	-10075.601	1440.300	193.900	-320.020	1629.980	29.999	-103.900	0.000	0.000	18.000	1.000	2.000	0	2.000	0.000	0.000	0.000	-4270.020	-2259.961	5543.838	-673.573	1336.486	103	101	95	95	54	459.499	469.580	-59.811	18.000	-1.000	0	0	0
47	12.836	Running	0	0	1	0	0	0	649	628	-5670.300	-10075.700	1440.400	196.300	-330.029	1620.020	39.996	-106.300	0.173	17.302	18.000	1.000	2.100	0	2.200	0.200	14.121	0.000	-4270.020	-2259.961	5529.717	-683.583	1326.476	102	101	95	95	54	459.530	469.370	-57.381	18.000	-0.971	0	0	0
48	13.112	Running	0	0	1	0	0	0	649	628	-5670.300	-10075.700	1440.400	196.300	-330.029	1620.020	39.996	-106.300	0.000	0.000	18.000	0.971	2.100	0	2.200	0.000	0.000	0.000	-4270.020	-2259.961	5529.717	-683.583	1326.476	102	101	95	95	54	459.530	469.170	-57.381	18.000	-0.971	0	0	0
49	13.384	Running	0	0	1	0	0	0	649	628	-5670.300	-10075.700	1440.400	196.300	-330.029	1620.020	39.996	-106.300	0.000	0.000	18.000	0.971	2.100	0	2.200	0.000	0.000	0.000	-4270.020	-2259.961	5529.717	-683.583	1326.476	102	101	95	95	54	459.530	468.977	-57.381	18.000	-0.971	0	0	0
50	13.658	Running	0	0	1	0	0	0	649	628	-5670.300	-10075.700	1440.400	196.300	-330.029	1620.020	39.996	-106.300	0.000	0.000	18.000	0.971	2.100	0	2.200	0.000	0.000	0.000	-4270.020	-2259.961	5529.717	-683.583	1326.476	102	101	95	95	54	459.530	468.792	-57.381	18.000	-0.971	0	0	0
51	13.922	Running	0	0	1	0	0	0	649	624	-5670.500	-10076.000	1440.400	199.600	-350.000	1590.039	39.996	-109.600	0.360	36.023	18.000	0.971	2.300	0	2.400	0.200	36.023	0.000	-4270.020	-2259.961	5494.457	-703.553	1306.505	102	101	95	95	53	453.201	468.492	-60.484	18.000	-0.905	0	0	0
52	14.184	Running	0	0	1	0	0	0	649	624	-5670.500	-10076.000	1440.400	199.600	-350.000	1590.039	39.996	-109.600	0.000	0.000	18.000	0.905	2.300	0	2.400	0.000	0.000	0.000	-4270.020	-2259.961	5494.457	-703.553	1306.505	102	101	95	95	53	453.201	468.203	-60.484	18.000	-0.905	0	0	0
53	14.460	Running	0	0	1	0	0	0	649	624	-5670.500	-10076.000	1440.400	199.600	-350.000	1590.039	39.996	-109.600	0.000	0.000	18.000	0.905	2.300	0	2.400	0.000	0.000	0.000	-4270.020	-2259.961	5494.457	-703.553	1306.505	102	101	95	95	53	453.201	467.925	-60.484	18.000	-0.905	0	0	0
54	14.723	Running	0	0	1	0	0	0	649	624	-5670.500	-10076.000	1440.400	199.600	-350.000	1590.039	39.996	-109.600	0.000	0.000	18.000	0.905	2.300	0	2.400	0.000	0.000	0.000	-4270.020	-2259.961	5494.457	-703.553	1306.505	102	101	95	95	53	453.201	467.658	-60.484	18.000	-0.905	0	0	0
55	14.994	Running	0	0	1	0	0	0	649	622	-5670.600	-10076.200	1440.400	202.800	-360.010	1570.020	39.996	-112.800	0.224	22.383	18.000	0.905	2.500	0	2.700	0.300	22.383	0.000	-4270.020	-2259.961	5473.292	-713.563	1296.495	102	100	95	95	52	447.007	467.289	-63.946	18.000	-0.842	0	0	0
56	15.277	Running	0	0	1	0	0	0	649	622	-5670.600	-10076.200	1440.400	202.800	-360.010	1570.020	39.996	-112.800	0.000	0.000	18.000	0.842	2.500	0	2.700	0.000	0.000	0.000	-4270.020	-2259.961	5473.292	-713.563	1296.495	102	100	95	95	52	447.007	466.933	-63.946	18.000	-0.842	0	0	0
57	15.540	Running	0	0	1	0	0	0	649	622	-5670.600	-10076.200	1440.400	202.800	-360.010	1570.020	39.996	-112.800	0.000	0.000	18.000	0.842	2.500	0	2.700	0.000	0.000	0.000	-4270.020	-2259.961	5473.292	-713.563	1296.495	102	100	95	95	52	447.007	466.590	-63.946	18.000	-0.842	0	0	0
58	15.797	Running	0	0	1	0	0	0	649	618	-5670.800	-10076.400	1440.400	205.200	-380.029	1550.000	39.996	-115.200	0.283	28.312	18.000	0.842	2.700	0	3.000	0.300	28.312	0.000	-4270.020	-2259.961	5444.982	-733.583	1276.476	101	100	94	94	52	447.007	466.258	-61.546	18.000	-0.774	0	0	0
59	16.075	Running	0	0	1	0	0	0	649	618	-5670.800	-10076.400	1440.400	205.200	-380.029	1550.000	39.996	-115.200	0.000	0.000	18.000	0.774	2.700	0	3.000	0.000	0.000	0.000	-4270.020	-2259.961	5444.982	-733.583	1276.476	101	100	94	94	52	447.007	465.937	-61.546	18.000	-0.774	0	0	0
60	16.500	Running	0	0	1	0	0	0	649	618	-5670.800	-10076.400	1440.400	205.200	-380.029	1550.000	39.996	-115.200	0.000	0.000	18.000	0.774	2.700	0	3.000	0.000	0.000	0.000	-4270.020	-2259.961	5444.982	-733.583	1276.476	101	100	94	94	52	447.007	465.627	-61.546	18.000	-0.774	0	0	0
61	16.773	Running	0	0	1	0	0	0	649	616	-5670.900	-10076.601	1440.400	207.200	-389.990	1529.980	39.996	-117.200	0.224	22.361	18.000	0.774	2.900	0	3.200	0.200	22.361	0.000	-4270.020	-2259.961	5423.862	-743.544	1266.515	101	99	94	94	51	440.924	465.228	-66.330	18.000	-0.746	0	0	0
62	17.043	Running	0	0	1	0	0	0	649	616	-5670.900	-10076.601	1440.400	207.200	-389.990	1529.980	39.996	-117.200	0.000	0.000	18.000	0.746	2.900	0	3.200	0.000	0.000	0.000	-4270.020	-2259.961	5423.862	-743.544	1266.515	101	99	94	94	51	440.924	464.842	-66.330	18.000	-0.746	0	0	0
63	17.309	Running	0	0	1	0	0	0	649	616	-5670.900	-10076.601	1440.400	207.200	-389.990	1529.980	39.996	-117.200	0.000	0.000	18.000	0.746	2.900	0	3.200	0.000	0.000	0.000	-4270.020	-2259.961	5423.862	-743.544	1266.515	101	99	94	94	51	440.924	464.469	-66.330	18.000	-0.746	0	0	0
64	17.590	Running	0	0	1	0	0	0	649	616	-5670.900	-10076.601	1440.400	207.200	-389.990	1529.980	39.996	-117.200	0.000	0.000	18.000	0.746	2.900	0	3.200	0.000	0.000	0.000	-4270.020	-2259.961	5423.862	-743.544	1266.515	101	99	94	94	51	440.924	464.106	-66.330	18.000	-0.746	0	0	0
65	17.869	Running	0	0	1	0	0	0	649	613	-5671.100	-10076.800	1440.500	209.600	-410.010	1510.058	49.994	-119.600	0.300	29.960	18.000	0.746	3.200	0	3.500	0.300	28.243	0.000	-4270.020	-2259.961	5395.621	-763.563	1246.495	101	99	94	94	51	440.982	463.756	-63.865	18.000	-0.677	0	0	0
66	18.132	Running	0	0	1	0	0	0	649	613	-5671.100	-10076.800	1440.500	209.600	-410.010	1510.058	49.994	-119.600	0.000	0.000	18.000	0.677	3.200	0	3.500	0.000	0.000	0.000	-4270.020	-2259.961	5395.621	-763.563	1246.495	101	99	94	94	51	440.982	463.416	-63.865	18.000	-0.677	0	0	0
67	18.403	Running	0	0	1	0	0	0	649	613	-5671.100	-10076.800	1440.500	209.600	-410.010	1510.058	49.994	-119.600	0.000	0.000	18.000	0.677	3.200	0	3.500	0.000	0.000	0.000	-4270.020	-2259.961	5395.621	-763.563	1246.495	101	99	94	94	51	440.982	463.086	-63.865	18.000	-0.677	0	0	0
68	18.676	Running	0	0	1	0	0	0	649	613	-5671.100	-10076.800	1440.500	209.600	-410.010	1510.058	49.994	-119.600	0.000	0.000	18.000	0.677	3.200	0	3.500	0.000	0.000	0.000	-4270.020	-2259.961	5395.621	-763.563	1246.495	101	99	94	94	51	440.982	462.766	-63.865	18.000	-0.677	0	0	0
69	18.979	Running	0	0	1	0	0	0	649	609	-5671.300	-10077.101	1440.500	211.400	-430.029	1479.980	49.994	-121.400	0.361	36.131	18.000	0.677	3.400	0	3.800	0.300	36.131	0.000	-4270.020	-2259.961	5360.288	-783.583	1226.476	100	98	93	93	51	435.045	462.370	-68.753	18.000	-0.656	0	0	0
70	19.265	Running	0	0	1	0	0	0	649	609	-5671.300	-10077.101	1440.500	211.400	-430.029	1479.980	49.994	-121.400	0.000	0.000	18.000	0.656	3.400	0	3.800	0.000	0.000	0.000	-4270.020	-2259.961	5360.288	-783.583	1226.476	100	98	93	93	51	435.045	461.985	-68.753	18.000	-0.656	0	0	0
71	19.593	Running	0	0	1	0	0	0	649	609	-5671.300	-10077.101	1440.500	211.400	-430.029	1479.980	49.994	-121.400	0.000	0.000	18.000	0.656	3.400	0	3.800	0.000	0.000	0.000	-4270.020	-2259.961	5360.288	-783.583	1226.476	100	98	93	93	51	435.045	461.611	-68.753	18.000	-0.656	0	0	0
72	19.927	Running: path-reverse	0	1	1	0	0	0	649	642	-5664.100	-10080.200	1440.900	181.300	289.990	1170.020	89.996	-91.300	7.849	784.923	18.000	0.656	2.800	0	12.200	8.400	783.903	0.000	-4270.020	-2259.961	5706.002	-63.563	1523.573	115	92	108	99	1	500.000	462.137	-133.700	-18.000	1.000	0	0	0
