sample_idx,sensor_idx,distance_cm,x_cm,y_cm,z_cm,pose_x_cm,pose_y_cm,pose_z_cm,heading_deg
5,12,655.190000,-438.110000,2067.189000,29.999000,250.000000,1400.000000,29.999000,-85.700000
5,16,914.800000,-145.413000,233.440000,29.999000,250.000000,1400.000000,29.999000,-85.700000
6,1,540.650000,554.129000,606.940000,-154.914000,250.000000,1390.039000,29.999000,-86.000000
6,3,574.330000,49.094000,541.812000,-166.434000,250.000000,1390.039000,29.999000,-86.000000
6,4,895.200000,-369.394000,318.957000,29.999000,250.000000,1390.039000,29.999000,-86.000000
6,5,439.570000,375.278000,673.647000,-155.771000,250.000000,1390.039000,29.999000,-86.000000
6,6,444.890000,225.980000,658.374000,-158.020000,250.000000,1390.039000,29.999000,-86.000000
6,7,403.580000,865.535000,1392.984000,-108.034000,250.000000,1390.039000,29.999000,-86.000000
6,8,402.110000,-358.577000,1307.386000,-107.531000,250.000000,1390.039000,29.999000,-86.000000
6,9,649.030000,885.835000,2148.426000,29.999000,250.000000,1390.039000,29.999000,-86.000000
6,10,288.190000,287.380000,2002.328000,29.999000,250.000000,1390.039000,29.999000,-86.000000
6,11,284.660000,157.943000,1989.738000,29.999000,250.000000,1390.039000,29.999000,-86.000000
6,12,641.060000,-424.792000,2050.658000,29.999000,250.000000,1390.039000,29.999000,-86.000000
6,16,936.340000,-155.626000,204.421000,29.999000,250.000000,1390.039000,29.999000,-86.000000
7,1,540.650000,554.129000,606.940000,-154.914000,250.000000,1390.039000,29.999000,-86.000000
7,3,574.330000,49.094000,541.812000,-166.434000,250.000000,1390.039000,29.999000,-86.000000
7,4,895.200000,-369.394000,318.957000,29.999000,250.000000,1390.039000,29.999000,-86.000000
7,5,439.570000,375.278000,673.647000,-155.771000,250.000000,1390.039000,29.999000,-86.000000
7,6,444.890000,225.980000,658.374000,-158.020000,250.000000,1390.039000,29.999000,-86.000000
7,7,403.580000,865.535000,1392.984000,-108.034000,250.000000,1390.039000,29.999000,-86.000000
7,8,402.110000,-358.577000,1307.386000,-107.531000,250.000000,1390.039000,29.999000,-86.000000
7,9,649.030000,885.835000,2148.426000,29.999000,250.000000,1390.039000,29.999000,-86.000000
7,10,288.190000,287.380000,2002.328000,29.999000,250.000000,1390.039000,29.999000,-86.000000
7,11,284.660000,157.943000,1989.738000,29.999000,250.000000,1390.039000,29.999000,-86.000000
7,12,641.060000,-424.792000,2050.658000,29.999000,250.000000,1390.039000,29.999000,-86.000000
7,16,936.340000,-155.626000,204.421000,29.999000,250.000000,1390.039000,29.999000,-86.000000
8,1,540.650000,554.129000,606.940000,-154.914000,250.000000,1390.039000,29.999000,-86.000000
8,3,574.330000,49.094000,541.812000,-166.434000,250.000000,1390.039000,29.999000,-86.000000
8,4,895.200000,-369.394000,318.957000,29.999000,250.000000,1390.039000,29.999000,-86.000000
8,5,439.570000,375.278000,673.647000,-155.771000,250.000000,1390.039000,29.999000,-86.000000
8,6,444.890000,225.980000,658.374000,-158.020000,250.000000,1390.039000,29.999000,-86.000000
8,7,403.580000,865.535000,1392.984000,-108.034000,250.000000,1390.039000,29.999000,-86.000000
8,8,402.110000,-358.577000,1307.386000,-107.531000,250.000000,1390.039000,29.999000,-86.000000
8,9,649.030000,885.835000,2148.426000,29.999000,250.000000,1390.039000,29.999000,-86.000000
8,10,288.190000,287.380000,2002.328000,29.999000,250.000000,1390.039000,29.999000,-86.000000
8,11,284.660000,157.943000,1989.738000,29.999000,250.000000,1390.039000,29.999000,-86.000000
8,12,641.060000,-424.792000,2050.658000,29.999000,250.000000,1390.039000,29.999000,-86.000000
8,16,936.340000,-155.626000,204.421000,29.999000,250.000000,1390.039000,29.999000,-86.000000
9,1,535.570000,542.651000,607.668000,-153.177000,250.000000,1390.039000,29.999000,-86.700000
9,3,570.410000,39.805000,547.858000,-165.093000,250.000000,1390.039000,29.999000,-86.700000
9,4,888.350000,-379.355000,332.724000,29.999000,250.000000,1390.039000,29.999000,-86.700000
9,5,436.000000,366.330000,675.400000,-154.263000,250.000000,1390.039000,29.999000,-86.700000
9,6,441.880000,216.886000,661.445000,-156.748000,250.000000,1390.039000,29.999000,-86.700000
9,7,402.490000,864.503000,1385.405000,-107.661000,250.000000,1390.039000,29.999000,-86.700000
9,8,403.040000,-360.413000,1314.776000,-107.849000,250.000000,1390.039000,29.999000,-86.700000
