snapshot_idx	step_idx	elapsed_s	label	point_idx	x_cm	y_cm
0	-1	0.000	initial_follow_path	305	-1546.240	-676.270
0	-1	0.000	initial_follow_path	306	-1552.490	-682.520
0	-1	0.000	initial_follow_path	307	-1558.740	-688.770
0	-1	0.000	initial_follow_path	308	-1564.990	-695.020
0	-1	0.000	initial_follow_path	309	-1571.240	-701.270
0	-1	0.000	initial_follow_path	310	-1577.490	-707.520
0	-1	0.000	initial_follow_path	311	-1583.740	-713.770
0	-1	0.000	initial_follow_path	312	-1589.990	-720.020
0	-1	0.000	initial_follow_path	313	-1596.240	-726.270
0	-1	0.000	initial_follow_path	314	-1602.490	-732.520
0	-1	0.000	initial_follow_path	315	-1608.740	-738.770
0	-1	0.000	initial_follow_path	316	-1614.990	-745.020
0	-1	0.000	initial_follow_path	317	-1621.240	-751.270
0	-1	0.000	initial_follow_path	318	-1627.490	-757.520
0	-1	0.000	initial_follow_path	319	-1633.740	-763.770
0	-1	0.000	initial_follow_path	320	-1639.990	-770.020
0	-1	0.000	initial_follow_path	321	-1646.240	-776.270
0	-1	0.000	initial_follow_path	322	-1652.490	-782.520
0	-1	0.000	initial_follow_path	323	-1658.740	-788.770
0	-1	0.000	initial_follow_path	324	-1664.990	-795.020
0	-1	0.000	initial_follow_path	325	-1671.240	-801.270
0	-1	0.000	initial_follow_path	326	-1677.490	-807.520
0	-1	0.000	initial_follow_path	327	-1683.740	-813.770
0	-1	0.000	initial_follow_path	328	-1689.990	-820.020
0	-1	0.000	initial_follow_path	329	-1696.240	-826.270
0	-1	0.000	initial_follow_path	330	-1702.490	-832.520
0	-1	0.000	initial_follow_path	331	-1708.740	-838.770
0	-1	0.000	initial_follow_path	332	-1714.990	-845.020
0	-1	0.000	initial_follow_path	333	-1721.240	-851.270
0	-1	0.000	initial_follow_path	334	-1727.490	-857.520
0	-1	0.000	initial_follow_path	335	-1733.740	-863.770
0	-1	0.000	initial_follow_path	336	-1739.990	-870.020
0	-1	0.000	initial_follow_path	337	-1746.240	-876.270
0	-1	0.000	initial_follow_path	338	-1752.490	-882.520
0	-1	0.000	initial_follow_path	339	-1758.740	-888.770
0	-1	0.000	initial_follow_path	340	-1764.990	-895.020
0	-1	0.000	initial_follow_path	341	-1771.240	-901.270
0	-1	0.000	initial_follow_path	342	-1777.490	-907.520
0	-1	0.000	initial_follow_path	343	-1783.740	-913.770
0	-1	0.000	initial_follow_path	344	-1789.990	-920.020
0	-1	0.000	initial_follow_path	345	-1796.240	-926.270
0	-1	0.000	initial_follow_path	346	-1802.490	-932.520
0	-1	0.000	initial_follow_path	347	-1808.740	-938.770
0	-1	0.000	initial_follow_path	348	-1814.990	-945.020
0	-1	0.000	initial_follow_path	349	-1821.240	-951.270
0	-1	0.000	initial_follow_path	350	-1827.490	-957.520
0	-1	0.000	initial_follow_path	351	-1833.740	-963.770
0	-1	0.000	initial_follow_path	352	-1839.990	-970.020
0	-1	0.000	initial_follow_path	353	-1846.240	-976.270
0	-1	0.000	initial_follow_path	354	-1852.490	-982.520
0	-1	0.000	initial_follow_path	355	-1858.740	-988.770
0	-1	0.000	initial_follow_path	356	-1864.990	-995.020
0	-1	0.000	initial_follow_path	357	-1871.240	-1001.270
0	-1	0.000	initial_follow_path	358	-1877.490	-1007.520
0	-1	0.000	initial_follow_path	359	-1883.740	-1013.770
0	-1	0.000	initial_follow_path	360	-1889.990	-1020.020
0	-1	0.000	initial_follow_path	361	-1896.240	-1026.270
0	-1	0.000	initial_follow_path	362	-1902.490	-1032.520
0	-1	0.000	initial_follow_path	363	-1908.740	-1038.770
0	-1	0.000	initial_follow_path	364	-1914.990	-1045.020
0	-1	0.000	initial_follow_path	365	-1921.240	-1051.270
0	-1	0.000	initial_follow_path	366	-1927.490	-1057.520
0	-1	0.000	initial_follow_path	367	-1933.740	-1063.770
0	-1	0.000	initial_follow_path	368	-1939.990	-1070.020
0	-1	0.000	initial_follow_path	369	-1946.240	-1076.270
0	-1	0.000	initial_follow_path	370	-1952.490	-1082.520
0	-1	0.000	initial_follow_path	371	-1958.740	-1088.770
0	-1	0.000	initial_follow_path	372	-1964.990	-1095.020
0	-1	0.000	initial_follow_path	373	-1971.240	-1101.270
0	-1	0.000	initial_follow_path	374	-1977.490	-1107.520
0	-1	0.000	initial_follow_path	375	-1983.740	-1113.770
0	-1	0.000	initial_follow_path	376	-1989.990	-1120.020
0	-1	0.000	initial_follow_path	377	-1996.240	-1126.270
0	-1	0.000	initial_follow_path	378	-2002.490	-1132.520
0	-1	0.000	initial_follow_path	379	-2008.740	-1138.770
0	-1	0.000	initial_follow_path	380	-2014.990	-1145.020
0	-1	0.000	initial_follow_path	381	-2021.240	-1151.270
0	-1	0.000	initial_follow_path	382	-2027.490	-1157.520
0	-1	0.000	initial_follow_path	383	-2033.740	-1163.770
0	-1	0.000	initial_follow_path	384	-2039.990	-1170.020
0	-1	0.000	initial_follow_path	385	-2046.240	-1176.270
0	-1	0.000	initial_follow_path	386	-2052.490	-1182.520
0	-1	0.000	initial_follow_path	387	-2058.740	-1188.770
0	-1	0.000	initial_follow_path	388	-2064.990	-1195.020
0	-1	0.000	initial_follow_path	389	-2071.240	-1201.270
0	-1	0.000	initial_follow_path	390	-2077.490	-1207.520
0	-1	0.000	initial_follow_path	391	-2083.740	-1213.770
0	-1	0.000	initial_follow_path	392	-2089.990	-1220.020
0	-1	0.000	initial_follow_path	393	-2096.240	-1226.270
0	-1	0.000	initial_follow_path	394	-2102.490	-1232.520
0	-1	0.000	initial_follow_path	395	-2108.740	-1238.770
0	-1	0.000	initial_follow_path	396	-2114.990	-1245.020
0	-1	0.000	initial_follow_path	397	-2121.240	-1251.270
0	-1	0.000	initial_follow_path	398	-2127.490	-1257.520
0	-1	0.000	initial_follow_path	399	-2133.740	-1263.770
0	-1	0.000	initial_follow_path	400	-2139.990	-1270.020
0	-1	0.000	initial_follow_path	401	-2146.240	-1276.270
0	-1	0.000	initial_follow_path	402	-2152.490	-1282.520
